essay;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;total_score
"Сочинение по
№14 «Мы прожили несколько дней…» (По К.Г. Паустовскому).
«Какие чувства вызывает красота природы у человека?»
Какие чувства вызывает красота природы у человека? Этот проблемный вопрос находится в центре внимания автора предложенного текста К.Г. Паустовского.
По мнению писателя, красота природы вызывает у человека чувства восхищения и даже преклонения перед прелестью родного края. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Рассказчик описывает красоту реки Пра, которая с первого же взгляда произвела на него впечатление. Это было поистине живописное место с удивительной растительностью и свежим воздухом, в котором ощущалась «полная и совершенная чистота». Автор подчёркивает: всё здесь казалось волшебным и первозданным, и это обаяние природного мира не может не вызывать у него благоговения.
К.Г. Паустовский называет своё чувство «преклонением перед не поддающейся никаким описаниям прелестью родной стороны». Он считает, что даже «волшебство» русского языка объясняется красотой нашей родной природы, под влиянием которой человек становится доброжелательным ко всем живым существам. Автор отмечает, что природный мир меняет наблюдателя в лучшую сторону.
Между приведёнными примерами прослеживается причинно-следственная связь. Писатель размышляет о том, что восхищение красотами природы воздействует на мировосприятие человека, помогая ему найти ключ к себе и другим людям.
Нельзя не согласиться с точкой зрения К.Г. Паустовского. Действительно, окружающий мир с его магическим обаянием дарит человеку ощущение неразрывной связи с родными местами. Вспомним, например, рассказ того же автора «Акварельные краски». Именно под влиянием живописной природы Берг изменил своё отношение к Родине, почувствовал свою близость с ней. Кроме того, красота осени вдохновила художника на создание потрясающей картины.
Таким образом, нет ничего более таинственного и прекрасного, чем природа, способная пробудить в человеке всё лучшее, что в нём есть.
741 м..и..н..у..с 11";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№13 «В учёном мире для сохранения…» (По В.В. Конецкому).
«В чём отличие искусства от науки?
». Сформулируйте позицию автора (рассказчика) по указанной проблеме.
В чём отличие искусства от науки? Это проблемный вопрос находится в центре внимания автора предложенного текста В.В. Конецкого.
По мнению писателя, наука объективна, тогда как искусство субъективно. Особенностью научного мышления является постоянный поиск ответов на те или иные вопросы, а для художественного достаточно одного вопроса. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Размышляя о науке, В.В. Конецкий отмечает: учёные нацелены на поиск истины. Даже если это не удастся одному, на смену придёт другой: «Учёный знает, что исчезает только его авторство, а не истина». Автор подчёркивает: наука требует ответов и решения проблем, иначе человека, который ей занимаются, назовут шарлатаном.
Совсем не таким выглядит настоящее искусство: «художники не способны повторить друг друга». У каждого из них – уникальное мировосприятие, и каждый привносит что-то своё, новое, оригинальное. Кроме того, на вопрос, заданный художником, никогда нельзя дать однозначный ответ. В.В. Конецкий отмечает: в основе искусства лежит субъективность.
Приведённые примеры противопоставлены друг другу, что позволяет автору подчеркнуть разницу между искусством и наукой. Их ни в коем случае нельзя сравнивать, потому что художник и учёный преследуют разные цели.
Нельзя не согласиться с точкой зрения В.В. Конецкого. Действительно, невозможно поставить знак равенства между наукой и искусством. Вспомним, например, как создавался роман А.С. Пушкина «Капитанская дочка». Изначально автор собирал информацию из разных источников и вёл заметки под названием «История Пугачёва». Это была исследовательская, научная работа, потому что в ней не было места художественному вымыслу. Однако «Капитанская дочка» – это уже произведение искусства. Здесь появились вымышленные герои (Гринёв, Маша Миронова, Швабрин и многие другие), да и сам Пугачёв становится литературным персонажем.
Таким образом, в основе научного мышления всегда лежат законы объективного мира, а художественное творчество зависит от восприятия автора.
722 п..л..ю..с 5";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№12 «Когда человек любит, он…» (По М.М. Пришвину).
«Что такое любовь?».
Сформулируйте позицию автора (рассказчика) по указанной проблеме.
Что такое любовь? Это проблемный вопрос находится в центре внимания автора предложенного текста М.М. Пришвина.
По мнению писателя, любовь помогает понять суть мира и всегда предполагает стремление оставить что-то после себя. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Когда рассказчик наблюдает за природным миром, он ощущает в себе любовь, «обнимающую собой весь мир». Он считает, что только влюблённый человек тонко чувствует красоту всего, что его окружает, а в образах природы находит параллели с личными переживаниями. Итак, автор подчёркивает: любовь преображает мир.
Но что может произойти с человеком, который внезапно утрачивает способность любить? Для рассказчика это почти катастрофа: «…во мне больше ничего нет, и вся душа моя как глубокой осенью разорённая земля». С помощью этого примера М.М. Пришвин заставляет задуматься о том, что без любви нет жизни.
Приведённые примеры противопоставлены друг другу. Автор сначала пишет о том, как меняется мир в восприятии влюблённого человека, а затем размышляет об обратном – внезапной утрате любви.
Нельзя не согласиться с точкой зрения М.М. Пришвина. Действительно, любовь – это основа всего, главная опора в нашей жизни. Почему так прекрасна любовная лирика А.С. Пушкина? Чувство, зародившееся в сердце поэта, послужило импульсом, толчком для создания художественного произведения. Это доказывает мысль о том, что любовь подразумевает стремление к бессмертию.
Таким образом, любовь – это то, что дарует человеку смысл жизни.
635 м..и..н..у..с 30";1;3;2;1;2;1;3;3;3;3;22
"Как влияет война на судьбы людей? Этот проблемный вопрос находится в центре внимания автора предложенного текста Н.З. Бирюкова.
По мнению писателя, война оказывает губительное влияние на судьбу человека. Ты хочешь быть счастливым, испытывать сильные чувства, но вынужден отказывать себя в этом здесь и сейчас. Любовь и счастье из-за войны приходится откладывать на потом. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Так, в предложенном для анализа фрагменте говорится о встрече героини Кати с эсэсовцами. Она вела себя смело и решительно, но, если бы Федя вовремя не пришёл ей на выручку, могла бы погибнуть. Герои испытывают глубокую симпатию друг к другу: «Почувствовав, как светло и жарко стало у него на душе, он понял: Фёдор Голубев жив, и любовь в его сердце жива». С помощью этого примера автор подчёркивает: на войне люди не перестают любить и радоваться.
Н.З. Бирюков описывает зарождение любовного чувства у героев и делает акцент на их желании быть счастливыми. Однако в настоящее время это оказывается невозможным: «После войны, – прошептала она скрепя сердце». Этот пример позволяет понять, что во время войны не получается вести полноценную жизнь.
Второй пример дополняет первый. Автор пишет о чувствах, которые испытывают герои, добавляя к этому размышления о невозможности быть счастливыми, пока не закончилась война.
Нельзя не согласиться с точкой зрения писателя. Война разрушает надежды и лишает опоры. Так, в произведении «Судьба человека» М.А. Шолохова Андрей Соколов потерял во время войны всех членов семьи. Только после того как боевые действия закончились, он смог восстановиться и заняться воспитанием мальчика-сиротки.
Таким образом, война действительно влияет не только на судьбу всего народа, но и на личную жизнь каждого человека.
225 м..и..н..у..с 7";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№11 «Не знаю, как вам, а мне всегда…» (По Е.Ю. Андреевой).
«Каковы причины страха?»
Каковы причины страха? Этот проблемный вопрос находится в центре внимания автора предложенного текста Е.Ю. Андреевой.
По мнению писательницы, причины страха кроются в природе человека: это непроизвольная реакция на реальную или вымышленную опасность. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Автор размышляет о том, что «страх – наследие нашей природы». Главная его причина издревле заключалась в том, что он «весьма успешно обеспечивал и продолжает обеспечивать наше выживание». Страху подвержены как люди, так и животные, а иногда даже сложно объяснить, почему мы пугаемся тех или иных вещей. Е.Ю. Андреева отмечает: все живые существа чего-то боятся.
Кроме того, иногда страх переходит в своё крайнее проявление – фобию. Существуют целые списки подобных страхов, доведённых человеком до абсурда. Причиной оправдания некоторых из них являются наши ожидания, которые «сильно влияют на то, что случится в будущем». Автор подчёркивает: мы сами делаем свои страхи всё более и более пугающими.
Второй пример дополняет первый, позволяя автору более подробно описать природу страха. Е.Ю. Андреева говорит о том, что люди не могут жить, не пугаясь чего-либо, а затем добавляет к этому размышления о фобиях, овладевающих излишне тревожным человеком.
Нельзя не согласиться с точкой зрения автора. Действительно, всё что угодно может стать потенциальным поводом для наших страхов. Однако даже с фобиями можно бороться, если человек осознает причины и постарается найти способ разрешения этой проблемы. Например, мой друг с детства боялся пауков. Но он поставил перед собой цель – излечиться от арахнофобии и специально отправился на выставку членистоногих. В результате друг узнал очень много интересной информации о пауках и стал терпимее к ним относиться. Страх исчез, когда человек сделал ему шаг навстречу.
Таким образом, причины страха связаны с историей человечества, но каждый из нас может побороть ту или иную фобию, если этого захочет.
187 м..и..н..у..с 6 =";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№13 «Двадцать с лишним лет назад они…» (По В.Ф. Тендрякову).
«Какими качествами должен обладать учитель?»
Какими качествами должен обладать учитель? Этот проблемный вопрос находится в центре внимания автора предложенного текста В.Ф. Тендрякова.
По мнению писателя, учитель – это не только человек, который хорошо знает предмет, но и тот, кто не боится выражать своё мнение. Приведу примеры, иллюстрирующие авторскую позицию.
В предложенном для анализа фрагменте рассказывается о новых педагогах, к которым школа отнеслась по-разному. Например, Иннокентия Сергеевича встретили уважительно, потому что он «держался скромно, преподавал толково». В школе о нём говорили как о работнике, на которого можно положиться. Автор подчёркивает: Иннокентий Сергеевич – хороший учитель, знающий свой предмет, но всё-таки одного этого не вполне достаточно.
Напротив, к преподавателю истории Ольге Олеговне отнеслись с равнодушием. Однако, по мнению В.Ф. Тендрякова, она отличалась не своим «педагогическим мастерством, а неукротимым правдолюбием». Ольга Олеговна не боялась открыто говорить о своих взглядах, даже если они шли вразрез с официально принятым мнением. Автор отмечает: именно такие учителя могут стать образцами для подражания.
Приведённые примеры противопоставлены друг другу. В.Ф. Тендряков размышляет о том, что человек, не имеющий своего мнения, не сможет стать хорошим учителем. Важно не быть как все, оставаться верным своим принципам.
Нельзя не согласиться с точкой зрения писателя. Действительно, хороший педагог – это прежде всего смелая личность со своими взглядами на мир. Вспомним, например, рассказ М. Гелприна «Свеча горела». Преподаватель литературы Андрей Петрович тоже был уникальным человеком. Когда всё вокруг менялось и люди пытались адаптироваться к новым условиям, он отказался получать другую профессию и остался верным своему призванию.
Таким образом, лучшие учителя всегда самоотверженно относятся к своей профессии.
880 п..л..ю..с 22";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№10 «Мы говорим, что время делает…» (По Ю.И. Визбору).
«Как влияет музыка на жизнь людей?»
Как влияет музыка на жизни людей? Этот проблемный вопрос находится в центре внимания автора предложенного текста Ю.И. Визбора.
По мнению писателя, музыка вызывает душевный отклик, если она настоящая и в ней нет фальши. Она делает личные переживания понятными для всех, помогает понять свои чувства, становится опорой гуманизма. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Так, Ю.И. Визбор пишет о том, какое впечатление на него произвела в юности песня «Священная война». Он считал, что определение «огромная» по отношению к стране было выбрано вовсе не случайно, ведь именно эта строчка придавала «уверенности», эмоционально воздействовала на слушателя. Как подчёркивает автор, нет другой песни, которая бы оказывала на него такое влияние. Действительно, музыка способна вызвать у человека очень сильные чувства.
В отличие от таких песен, как «Священная война», есть «песни-однолетки», которые ни на что не претендуют. Эти произведения «пустые, бездушные», поэтому и не производят никакого впечатления на слушателя. Они забываются, а им на смену приходят другие песни. С помощью этого примера Ю.И. Визбор отмечает, что изменить человека в лучшую сторону может только настоящая, душевная музыка.
Приведённые примеры противопоставлены друг другу. Автор размышляет о разной музыке. Настоящее произведение искусства может изменить мировосприятие человека, тогда как фальшивое сразу же стирается из памяти.
Нельзя не согласиться с точкой зрения автора. Действительно, только музыка, идущая от самого сердца, вызывает у слушателя отклик. Таким произведением для меня стал «Концерт для фортепиано с оркестром №2» Сергея Рахманинова. Когда я услышала его вживую, то была поражена ещё больше, чем раньше, когда слушала это произведение в записи. В музыке великого композитора чувствуется сила, мужество, красота и любовь, она воодушевляет и помогает справиться с тревогами.
Таким образом, музыка действительно становится для человека надёжной опорой и помогает в трудные минуты.
187 м..и..н..у..с 6 =";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№12 «Въехали в город…» (По Н.С. Кухаревой).
«Каковы причины возникновения равнодушия?»
Каковы причины возникновения равнодушия? Этот проблемный вопрос находится в центре внимания автора предложенного текста Н.С. Кухаревой.
По мнению писательницы, главная причина равнодушия – это неумение и нежелание людей поставить чужие интересы наравне с личными. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Так, Н.С. Кухарева описывает ситуацию в автобусе, где ехала больная бабушка. Она объясняла, что ей очень тяжело передвигаться, и просила подвезти её к отделению травматологии. Однако водитель и пассажиры автобуса проявили равнодушие к пожилой женщине: каждый был занят только своими заботами. С помощью этого примера автор отмечает, что основная причина равнодушия – это эгоизм.
Однако среди пассажиров всё-таки нашёлся один человек, который не смог остаться в стороне. Серёжа спешил на экзамен, но совесть не позволила ему бросить бабушку в беде, поэтому он и вызвался её проводить. Н.С. Кухарева подчёркивает: быть неравнодушным – это значит поставить чужие интересы выше собственных.
Приведённые примеры противопоставлены друг другу. Автор делает акцент на различиях между человеческим равнодушием и подлинным состраданием. Эгоист никогда не поможет другому, для этого нужна «настоящая» душа и доброе сердце.
Нельзя не согласиться с точкой зрения Н.С. Кухаревой. Действительно, люди равнодушны, потому что не могут поставить себя на чужое место. Им кажется, что ценны и важны только их личные проблемы. В стихотворении М.Ю. Лермонтова «Листок» также раскрывается эта тема. Молодая чинара не собирается помогать дубовому листку, считая его недостойным, слишком старым и грязным. Героиня равнодушна к «страннику», так как ей чуждо сострадание.
Таким образом, равнодушие – это одно из самых страшных преступлений, которое в конечном счёте приводит к утрате человечности.
225 м..и..н..у..с 7";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№11 «Однажды на уроке биологии…» (По В.А. Почуеву).
«В чём заключается конфликт общественных и личных интересов?»
В чём заключается конфликт общественных и личных интересов? Этот проблемный вопрос находится в центре внимания автора предложенного текста В.А. Почуева.
По мнению писателя, люди часто оказываются перед сложным выбором: жертвовать собой ради общих интересов или ставить личную выгоду выше всего остального. Приведу примеры из текста, иллюстрирующие авторскую позицию.
В.А. Почуев описывает спор, разгоревшийся на уроке биологии между мальчиками Димой Демьяненко и Вовкой Нестеровым. Так, Димка считал, что зерно, полученное в ходе селекции в годы Великой Отечественной войны, нужно было разделить поровну. Как подчёркивает автор, мальчик «умел в нужные минуты перевоплощаться в непреклонного и самоотверженного поборника справедливости». С помощью этого примера автор подчёркивает: невозможно сделать так, чтобы всем членам общества было хорошо, как это предлагает Димка.
Вовка Нестеров не соглашается с оппонентом, считая, что делить зерно поровну было бы несправедливо: в одной семье может быть больше человек, чем в другой. В результате подобная «честность» окажется мнимой и обернётся противоположной стороной. В.А. Почуев отмечает: должна быть золотая середина между общественными и личными интересами.
Приведённые примеры противопоставлены друг другу. Это позволяет автору столкнуть две точки зрения, связанные с пониманием справедливости и чувства долга. Сам писатель не занимают ни одну из этих позиций, видя в каждой что-то убедительное и в то же время не вполне жизнеспособное.
Нельзя не согласиться с точкой зрения писателя. Действительно, в конфликте общественных и личных интересов нет правых и виноватых. Главное – не впадать в ту или иную крайность, как это сделал, например, Лужин, герой романа Ф.М. Достоевского «Преступление и наказание». Этот человек-подлец из всего стремился извлечь пользу, а также проповедовал идею «целого кафтана», демонстрируя абсолютное равнодушие к людям.
Таким образом, важен баланс личных и общественных интересов во избежание серьёзных конфликтов.";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№15 «Жёлтые кувшинки плавали…» (По М.А. Шолохову).
«Как солдаты относятся к происходящим на войне событиям?»
Как солдаты относятся к происходящим на войне событиям? Этот проблемный вопрос находится в центре внимания автора предложенного текста М.А. Шолохова.
По мнению писателя, отношение солдат к военным действиям может быть разным. Одни предаются меланхолии и пессимизму, а другие, напротив, сохраняют жизнерадостность и бодрость. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Так, Николай не может радоваться мелочам. Герой постоянно думает о том, что происходит на поле боя, называя это «катастрофой». Кроме того, Николай переживает из-за вынужденного отступления и не знает, к чему всё это в итоге приведёт. С помощью этого примера М.А. Шолохов подчёркивает: неизвестность пугает больше всего и мешает человеку абстрагироваться от тревожных мыслей.
В отличие от Николая, Лопахин стремится смотреть на происходящее другими глазами. По его мнению, для радости достаточно лишь того, что ты жив. Он призывает товарища оглянуться по сторонам, увидеть жёлтые кувшинки и яркое солнце, ненадолго забыть обо всех переживаниях. Этот пример позволяет автору раскрыть позицию человека, который не привык отчаиваться.
Приведённые примеры противопоставлены друг другу. Антитеза помогает М.А. Шолохову подчеркнуть различия между двумя типами людей. Первые постоянно мрачны и не видят ничего светлого впереди, а вторые смело глядят в будущее.
Я согласна с мнением автора в том, что на войне нельзя терять оптимизм и веру в лучшее. Вспомним, к примеру, заглавного героя поэмы А.Т. Твардовского «Василий Тёркин». Этот человек отличался храбростью и стойкостью, а источником сил для него стало исключительное чувство юмора.
Таким образом, всё действительно зависит от нашего восприятия, о того, с какой точки зрения мы будем оценивать происходящее, даже если дело касается войны.
493 м..и..н..у..с 2";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№10 «Андрей родился и рос в Калуге…» (По Ф.А. Вигдоровой).
«Какую роль в жизни ребёнка играет мама?»
Какую роль в жизни ребёнка играет мама? Этот проблемный вопрос находится в центре внимания автора предложенного текста Ф.А. Вигдоровой.
По мнению писателя, мама – самый близкий человек для ребёнка. Она прививает ему нравственные идеалы, открывает перед ним мир. Приведу примеры из текста, иллюстрирующие авторскую позицию.
Ф.А. Вигдорова подчёркивает, что «всё в мире открывала Андрею мама». Например, она сказала ему, что берёзовые листья похожи на «золотые пятаки на снегу», а кленовые – «как будто след птичьей лапки». С помощью этого примера автор отмечает: мать учит ребёнка образно и оригинально мыслить.
Кроме того, она рассказывала ему интересные истории. Например, про английского капитана Скотта, который открыл Южный полюс на несколько дней позже Амундсена. Мальчика очень тронул этот факт и биография капитана, поэтому они с мамой в игровой форме «спасли» его. Этот пример доказывает мысль о том, что мама прививает ребёнку представления о морали, учит его сочувствовать другим.
Ф.А. Вигдорова приводит аналогичные примеры, отмечая, что между ребёнком и матерью образуется тесная эмоциональная связь. Мама учит своего сына творчески мыслить и формирует его нравственный кодекс.
Нельзя не согласиться с точкой зрения автора. Действительно, мать помогает ребёнку замечать и любить красоту, быть наблюдательным и эмоциональным, расширять свой кругозор и справляться с трудностями. Несмотря на то, что герой повести Л.Н. Толстого «Детство» рано потерял мать, он не забывал о ней на протяжении всей жизни. Её прекрасная улыбка словно освещала Николеньке путь: воспоминание об этом помогало переживать самые тяжёлые моменты жизни.
Таким образом, мать играет в жизни ребёнка значимую роль, поэтому дни, проведённые с ней, он вспоминает с благодарностью.
722 п..л..ю..с 5";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№14 «Тяжело будет всё-таки…» (По К.М. Симонову).
«В чём проявляется духовная стойкость на войне?»
В чём проявляется духовная стойкость на войне? Этот проблемный вопрос находится в центре внимания автора предложенного текста К.М. Симонова.
По мнению писателя, духовная стойкость в годы войны проявлялась в твёрдом противостоянии тому, что может привести к бессмысленной гибели людей. Приведу примеры из текста, иллюстрирующие авторскую позицию.
В предложенном для анализа фрагменте рассказывается о тяжелом нравственном выборе командира дивизии Серпилина. От него потребовали невозможного: взять Грачи к определённой дате, но это значило пожертвовать жизнями солдат. Серпилин не может ослушаться приказа, поэтому не вступает в спор с командующим по телефону. С помощью этого примера автор подчёркивает: «Родина может требовать от своих сыновей подвига, а не бессмысленной гибели».
Однако Серпилин не смог выполнить приказ, прекрасно зная, к каким последствиям это приведёт. Он ничего не испугался, проявил духовную стойкость, «не склонил головы и упрямо сказал всё, что думал». Этот пример доказывает мысль писателя о том, что во время войны люди должны оставаться верными своим принципам.
Между примерами прослеживается уступительная связь. Несмотря на то, что Серпилину приказали взять Грачи, он не пожелал рисковать жизнями своих людей. Это решение характеризует его как честного, порядочного, сильного духом человека.
Нельзя не согласиться с точкой зрения автора. Действительно, в любых условиях нужно сохранять духовность и стараться защитить других, если это в твоей власти. В произведении А.И. Куприна «Гранатовый браслет» есть такой же честный герой, не способный поступиться совестью. Генерал Аносов во время польского мятежа отказался расстреливать пленных, ослушавшись приказа полкового командира, потому что это противоречило его представлениям о морали.
Таким образом, даже на войне есть место гуманизму, когда появляются люди, готовые приложить все усилия, чтобы не допустить бессмысленной гибели защитников Родины.
129 м..и..н..у..с 9 =";1;3;2;1;2;1;3;3;3;3;22
"Сочинение по
№9 «Для старшего поколения искусство…» (По М.Л. Гаспарову).
Кроме того, чтение интеллектуальной литературы становится важным толчком к собственным размышлениям. Читатель учится судить о героях как о настоящих людях, у которых есть и достоинства, и недостатки. Например, Онегин изначально не вызывает симпатии, но в ответ на письмо Татьяны он повёл себя как порядочный человек. Автор отмечает: классическая литература приводит в порядок наши мысли, учит «духовности».
М.Л. Гаспаров приводит аналогичные примеры, раскрывая цель классической литературы. По его мнению, она тесно связана с языком и мышлением, становясь для читателя лучшим учебником.
Нельзя не согласиться с точкой зрения автора. Действительно, каждому человеку важно ценить классику, ведь в ней затронуты такие проблемы, которые актуальны до сих пор. Например, в романе-эпопее Л.Н. Толстого «Война и мир» есть ищущий герой Пьер Безухов. Он проходит длинный путь, не обходится без серьёзных ошибок, но всё-таки обретает душевное равновесие. История Пьера будет интересна и современному человеку, который пытается найти своё предназначение, понять, как ему следует жить и чего он хочет от жизни.
Таким образом, классическая литература объединяет поколения, поэтому так важно тщательно её изучать.
963 м..и..н..у..с 62";1;3;2;1;2;1;3;3;3;3;22
